Version 2
RootMod _city_02_02_dummyobj 
End 

Def ES_Trolls_L11_13_Around_City_02_02 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_02_02/Scavenge_Clockwork_L11_13_V0.spawndef 0
	Property CanSpawn2 SpawnDefs/City_02_02/Scavenge_Clockwork_L11_13_V1.spawndef 0
	Property CanSpawn3 SpawnDefs/City_02_02/Scavenge_Clockwork_L11_13_V2.spawndef 0
	Property CanSpawn4 SpawnDefs/City_02_02/Scavenge_Clockwork_L11_13_V3.spawndef 0
	Property CanSpawn5 SpawnDefs/City_02_02/Scavenge_Clockwork_L11_13_V4.spawndef 0
End 

Def ES_Clockwork_L14_17_Around_City_02_02 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_42 
	Rot 0.000000 0.523598 0.000000 
	Pos -2.500000 0.000000 2.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_06 
	Rot 0.000000 -0.523599 0.000000 
	Pos 0.000000 0.000000 10.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_02_02/Scavenge_Clockwork_L14_17_V0.spawndef 0
	Property CanSpawn2 SpawnDefs/City_02_02/Scavenge_Clockwork_L14_17_V1.spawndef 0
	Property CanSpawn3 SpawnDefs/City_02_02/Scavenge_Clockwork_L14_17_V2.spawndef 0
	Property CanSpawn4 SpawnDefs/City_02_02/Scavenge_Clockwork_L14_17_V3.spawndef 0
	Property CanSpawn5 SpawnDefs/City_02_02/Scavenge_Clockwork_L14_17_V4.spawndef 0 
End 

Def ES_Clockwork_L18_20_Around_City_02_02 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_42 
	Rot 0.000000 0.523598 0.000000 
	Pos -2.500000 0.000000 2.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_06 
	Rot 0.000000 -0.523599 0.000000 
	Pos 0.000000 0.000000 10.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_02_02/Scavenge_Clockwork_L18_20_V0.spawndef 0
	Property CanSpawn2 SpawnDefs/City_02_02/Scavenge_Clockwork_L18_20_V1.spawndef 0
	Property CanSpawn3 SpawnDefs/City_02_02/Scavenge_Clockwork_L18_20_V2.spawndef 0
	Property CanSpawn4 SpawnDefs/City_02_02/Scavenge_Clockwork_L18_20_V3.spawndef 0
	Property CanSpawn5 SpawnDefs/City_02_02/Scavenge_Clockwork_L18_20_V4.spawndef 0 
End 

Def ES_Rikti_L14_17_Around_City_02_02 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_42 
	Rot 0.000000 0.523598 0.000000 
	Pos -2.500000 0.000000 2.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_06 
	Rot 0.000000 -0.523599 0.000000 
	Pos 0.000000 0.000000 10.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_02_02/Preaching_RiktiBeggars_L14_17_V0.spawndef 0
	Property CanSpawn2 SpawnDefs/City_02_02/Preaching_RiktiBeggars_L14_17_V1.spawndef 0
	Property CanSpawn3 SpawnDefs/City_02_02/Preaching_RiktiBeggars_L14_17_V2.spawndef 0
	Property CanSpawn4 SpawnDefs/City_02_02/Preaching_RiktiBeggars_L14_17_V3.spawndef 0
	Property CanSpawn5 SpawnDefs/City_02_02/Preaching_RiktiBeggars_L14_17_V4.spawndef 0
End 

Def ES_Rikti_L18_20_Around_City_02_02 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_42 
	Rot 0.000000 0.523598 0.000000 
	Pos -2.500000 0.000000 2.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_06 
	Rot 0.000000 -0.523599 0.000000 
	Pos 0.000000 0.000000 10.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_02_02/Preaching_RiktiBeggars_L18_20_V0.spawndef 0
	Property CanSpawn2 SpawnDefs/City_02_02/Preaching_RiktiBeggars_L18_20_V1.spawndef 0
	Property CanSpawn3 SpawnDefs/City_02_02/Preaching_RiktiBeggars_L18_20_V2.spawndef 0
	Property CanSpawn4 SpawnDefs/City_02_02/Preaching_RiktiBeggars_L18_20_V3.spawndef 0
	Property CanSpawn5 SpawnDefs/City_02_02/Preaching_RiktiBeggars_L18_20_V4.spawndef 0 
End 

Def ES_Trolls_L12_15_Peddle_City_02_02
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Property EncounterSpawn Snatch 0 
	Property CanSpawn1 SpawnDefs/City_02_02/Peddle_Trolls_L12_15_V0.spawndef 0
	Property CanSpawn2 SpawnDefs/City_02_02/Peddle_Trolls_L12_15_V1.spawndef 0
	Property CanSpawn3 SpawnDefs/City_02_02/Peddle_Trolls_L12_15_V2.spawndef 0
End 

Def ES_Trolls_L16_19_Peddle_City_02_02
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Property EncounterSpawn Snatch 0 
	Property CanSpawn1 SpawnDefs/City_02_02/Peddle_Trolls_L16_19_V0.spawndef 0
	Property CanSpawn2 SpawnDefs/City_02_02/Peddle_Trolls_L16_19_V1.spawndef 0
	Property CanSpawn3 SpawnDefs/City_02_02/Peddle_Trolls_L16_19_V2.spawndef 0
End 

Def ES_Lost_D1_Around_City_02_02 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_42 
	Rot 0.000000 0.523598 0.000000 
	Pos -2.500000 0.000000 2.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_06 
	Rot 0.000000 -0.523599 0.000000 
	Pos 0.000000 0.000000 10.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_02_02/Loiter_Lost_D1_V0.spawndef 0
	Property CanSpawn2 SpawnDefs/City_02_02/Loiter_Lost_D1_V1.spawndef 0
	Property CanSpawn3 SpawnDefs/City_02_02/Loiter_Lost_D1_V2.spawndef 0
	Property CanSpawn4 SpawnDefs/City_02_02/Loiter_Lost_D1_V3.spawndef 0
	Property CanSpawn5 SpawnDefs/City_02_02/Loiter_Lost_D1_V4.spawndef 0
End 

Def ES_Lost_D5_City_02_02 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_42 
	Rot 0.000000 0.523598 0.000000 
	Pos -2.500000 0.000000 2.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_06 
	Rot 0.000000 -0.523599 0.000000 
	Pos 0.000000 0.000000 10.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_02_02/Loiter_Lost_D5_V0.spawndef 0
	Property CanSpawn2 SpawnDefs/City_02_02/Loiter_Lost_D5_V1.spawndef 0
	Property CanSpawn3 SpawnDefs/City_02_02/Loiter_Lost_D5_V2.spawndef 0
	Property CanSpawn4 SpawnDefs/City_02_02/Loiter_Lost_D5_V3.spawndef 0
	Property CanSpawn5 SpawnDefs/City_02_02/Loiter_Lost_D5_V4.spawndef 0
End 

Def ES_Lost_D10_City_02_02 
	Group object_library/Omni/EncounterSpawns/Encounter_V_40 
	Rot 0.000000 -1.047198 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_42 
	Rot 0.000000 0.523598 0.000000 
	Pos -2.500000 0.000000 2.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_V_41 
	Rot 0.000000 -1.047198 0.000000 
	Pos 0.500000 0.000000 4.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_06 
	Rot 0.000000 -0.523599 0.000000 
	Pos 0.000000 0.000000 10.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_05 
	Rot 0.000000 0.872665 0.000000 
	Pos 5.500000 0.000000 6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_31 
	Rot 0.000000 1.396263 0.000000 
	Pos 4.500000 0.000000 2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_30 
	Rot 0.000000 2.094395 0.000000 
	Pos 3.500000 0.000000 -2.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_02 
	Rot 0.000000 1.745329 0.000000 
	Pos 8.500000 0.000000 0.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_01 
	Rot 0.000000 2.443461 0.000000 
	Pos 3.500000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_08 
	Rot 0.000000 -2.967060 0.000000 
	Pos -2.000000 0.000000 -6.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_S_32 
	Rot 0.000000 -2.443461 0.000000 
	Pos -4.500000 0.000000 -1.000000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_07 
	Rot 0.000000 -2.268928 0.000000 
	Pos -7.000000 0.000000 -4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_03 
	Rot 0.000000 -1.047198 0.000000 
	Pos -8.500000 0.000000 4.500000 
	End
	Group object_library/Omni/EncounterSpawns/Encounter_E_04 
	Rot 0.000000 -1.221731 0.000000 
	Pos -5.500000 0.000000 8.000000 
	End
	Property EncounterSpawn Around 0 
	Property CanSpawn1 SpawnDefs/City_02_02/Loiter_Lost_D10_V0.spawndef 0
	Property CanSpawn2 SpawnDefs/City_02_02/Loiter_Lost_D10_V1.spawndef 0
	Property CanSpawn3 SpawnDefs/City_02_02/Loiter_Lost_D10_V2.spawndef 0
	Property CanSpawn4 SpawnDefs/City_02_02/Loiter_Lost_D10_V3.spawndef 0
	Property CanSpawn5 SpawnDefs/City_02_02/Loiter_Lost_D10_V4.spawndef 0
End 
